fundCode,fundName,date,currentValue,totalValue
165508,信诚深度价值混合,2015/10/26,1.808,1.808
165508,信诚深度价值混合,2015/10/23,1.762,1.762
165508,信诚深度价值混合,2015/10/22,1.66,1.66
165508,信诚深度价值混合,2015/10/21,1.585,1.585
165508,信诚深度价值混合,2015/10/20,1.723,1.723
165508,信诚深度价值混合,2015/10/19,1.67,1.67
165508,信诚深度价值混合,2015/10/16,1.668,1.668
165508,信诚深度价值混合,2015/10/15,1.648,1.648
165508,信诚深度价值混合,2015/10/14,1.596,1.596
165508,信诚深度价值混合,2015/10/13,1.623,1.623
165508,信诚深度价值混合,2015/10/12,1.602,1.602
165508,信诚深度价值混合,2015/10/9,1.534,1.534
165508,信诚深度价值混合,2015/10/8,1.499,1.499
165508,信诚深度价值混合,2015/9/30,1.431,1.431
165508,信诚深度价值混合,2015/9/29,1.412,1.412
165508,信诚深度价值混合,2015/9/28,1.436,1.436
165508,信诚深度价值混合,2015/9/25,1.409,1.409
165508,信诚深度价值混合,2015/9/24,1.442,1.442
165508,信诚深度价值混合,2015/9/23,1.425,1.425
165508,信诚深度价值混合,2015/9/22,1.448,1.448
165508,信诚深度价值混合,2015/9/21,1.438,1.438
165508,信诚深度价值混合,2015/9/18,1.389,1.389
165508,信诚深度价值混合,2015/9/17,1.377,1.377
165508,信诚深度价值混合,2015/9/16,1.406,1.406
165508,信诚深度价值混合,2015/9/15,1.318,1.318
165508,信诚深度价值混合,2015/9/14,1.395,1.395
165508,信诚深度价值混合,2015/9/11,1.483,1.483
165508,信诚深度价值混合,2015/9/10,1.475,1.475
165508,信诚深度价值混合,2015/9/09,1.49,1.49
165508,信诚深度价值混合,2015/9/08,1.454,1.454
165508,信诚深度价值混合,2015/9/07,1.403,1.403
165508,信诚深度价值混合,2015/9/02,1.407,1.407
165508,信诚深度价值混合,2015/9/01,1.432,1.432
165508,信诚深度价值混合,2015/8/31,1.526,1.526
165508,信诚深度价值混合,2015/8/28,1.569,1.569
165508,信诚深度价值混合,2015/8/27,1.453,1.453
165508,信诚深度价值混合,2015/8/26,1.379,1.379
165508,信诚深度价值混合,2015/8/25,1.428,1.428
165508,信诚深度价值混合,2015/8/24,1.567,1.567
165508,信诚深度价值混合,2015/8/21,1.711,1.711
165508,信诚深度价值混合,2015/8/20,1.8,1.8
165508,信诚深度价值混合,2015/8/19,1.888,1.888
165508,信诚深度价值混合,2015/8/18,1.859,1.859
165508,信诚深度价值混合,2015/8/17,2.024,2.024
165508,信诚深度价值混合,2015/8/14,1.981,1.981
165508,信诚深度价值混合,2015/8/13,1.966,1.966
165508,信诚深度价值混合,2015/8/12,1.915,1.915
165508,信诚深度价值混合,2015/8/11,1.932,1.932
165508,信诚深度价值混合,2015/8/10,1.916,1.916
165508,信诚深度价值混合,2015/8/07,1.821,1.821
165508,信诚深度价值混合,2015/8/06,1.769,1.769
165508,信诚深度价值混合,2015/8/05,1.774,1.774
165508,信诚深度价值混合,2015/8/04,1.796,1.796
165508,信诚深度价值混合,2015/8/03,1.712,1.712
165508,信诚深度价值混合,2015/7/31,1.781,1.781
165508,信诚深度价值混合,2015/7/30,1.798,1.798
165508,信诚深度价值混合,2015/7/29,1.842,1.842
165508,信诚深度价值混合,2015/7/28,1.738,1.738
165508,信诚深度价值混合,2015/7/27,1.82,1.82
165508,信诚深度价值混合,2015/7/24,1.976,1.976
165508,信诚深度价值混合,2015/7/23,1.995,1.995
165508,信诚深度价值混合,2015/7/22,1.922,1.922
165508,信诚深度价值混合,2015/7/21,1.912,1.912
165508,信诚深度价值混合,2015/7/20,1.89,1.89
165508,信诚深度价值混合,2015/7/17,1.833,1.833
165508,信诚深度价值混合,2015/7/16,1.729,1.729
165508,信诚深度价值混合,2015/7/15,1.696,1.696
165508,信诚深度价值混合,2015/7/14,1.762,1.762
165508,信诚深度价值混合,2015/7/13,1.73,1.73
165508,信诚深度价值混合,2015/7/10,1.659,1.659
165508,信诚深度价值混合,2015/7/09,1.578,1.578
165508,信诚深度价值混合,2015/7/08,1.509,1.509
165508,信诚深度价值混合,2015/7/07,1.586,1.586
165508,信诚深度价值混合,2015/7/06,1.687,1.687
165508,信诚深度价值混合,2015/7/03,1.731,1.731
165508,信诚深度价值混合,2015/7/02,1.864,1.864
165508,信诚深度价值混合,2015/7/01,2.007,2.007
165508,信诚深度价值混合,2015/6/30,2.14,2.14
165508,信诚深度价值混合,2015/6/29,2.045,2.045
165508,信诚深度价值混合,2015/6/26,2.169,2.169
165508,信诚深度价值混合,2015/6/25,2.382,2.382
165508,信诚深度价值混合,2015/6/24,2.506,2.506
165508,信诚深度价值混合,2015/6/23,2.45,2.45
165508,信诚深度价值混合,2015/6/19,2.406,2.406
165508,信诚深度价值混合,2015/6/18,2.612,2.612
165508,信诚深度价值混合,2015/6/17,2.7,2.7
165508,信诚深度价值混合,2015/6/16,2.657,2.657
165508,信诚深度价值混合,2015/6/15,2.759,2.759
165508,信诚深度价值混合,2015/6/12,2.81,2.81
165508,信诚深度价值混合,2015/6/11,2.769,2.769
165508,信诚深度价值混合,2015/6/10,2.713,2.713
165508,信诚深度价值混合,2015/6/09,2.661,2.661
165508,信诚深度价值混合,2015/6/08,2.665,2.665
165508,信诚深度价值混合,2015/6/05,2.675,2.675
165508,信诚深度价值混合,2015/6/04,2.636,2.636
165508,信诚深度价值混合,2015/6/03,2.657,2.657
165508,信诚深度价值混合,2015/6/02,2.614,2.614
165508,信诚深度价值混合,2015/6/01,2.532,2.532
165508,信诚深度价值混合,2015/5/29,2.404,2.404
165508,信诚深度价值混合,2015/5/28,2.403,2.403
